,Left Hand Side,Right Hand Side,Support,Confidence,Lift
5182,Gender_male,Kids_Category_no_kids,0.045081967213114756,0.7857142857142857,2.0838509316770186
5183,Gender_male,Kids_Category_no_kids,0.04918032786885246,0.631578947368421,2.2015037593984963
5184,Kids_Category_no_kids,With_Kids_no,0.04918032786885246,0.46153846153846156,2.0854700854700856
5185,Kids_Category_no_kids,With_Kids_no,0.06147540983606557,0.576923076923077,2.132867132867133
5186,Kids_Category_no_kids,Gender_male,0.045081967213114756,0.42307692307692313,2.1067503924646784
5187,Washer_No_5,With_Kids_no,0.04918032786885246,0.5,2.2592592592592595
5188,Gender_male,With_Kids_no,0.05737704918032787,0.875,2.346153846153846
5189,Gender_male,Kids_Category_no_kids,0.040983606557377046,0.6249999999999999,2.3828124999999996
5190,Washer_No_6,With_Kids_no,0.05737704918032787,0.45161290322580644,2.040621266427718
5191,Gender_male,With_Kids_no,0.06967213114754098,0.894736842105263,2.399074609600925
5192,Gender_male,Kids_Category_no_kids,0.05327868852459016,0.6842105263157894,2.608552631578947
5193,Dryer_No_8,With_Kids_no,0.040983606557377046,0.31249999999999994,3.3152173913043477
5194,Race_chinese,With_Kids_no,0.06147540983606557,0.48387096774193544,2.1466275659824046
5195,Race_chinese,Gender_male,0.045081967213114756,0.37931034482758624,2.152365677626303
5196,Race_chinese,Gender_male,0.06147540983606557,0.3125,2.006578947368421
5197,Gender_male,With_Kids_no,0.04918032786885246,0.3243243243243243,2.198198198198198
5198,Gender_male,With_Kids_no,0.06967213114754098,0.3695652173913043,2.049407114624506
5199,Race_chinese,Gender_male,0.045081967213114756,0.3055555555555556,2.015015015015015
5200,Pants_Colour_black,With_Kids_no,0.040983606557377046,0.5882352941176471,2.609625668449198
5201,Dryer_No_8,Gender_male,0.040983606557377046,0.31249999999999994,2.006578947368421
5202,Gender_male,With_Kids_no,0.04918032786885246,0.3870967741935484,2.1466275659824046
5203,Gender_male,With_Kids_no,0.045081967213114756,0.5238095238095238,3.043083900226758
5204,Gender_male,Wash_Item_clothes,0.040983606557377046,0.47619047619047616,3.2275132275132274
5205,Gender_male,With_Kids_no,0.040983606557377046,0.47619047619047616,2.6406926406926403
5206,With_Kids_no,Gender_male,0.04918032786885246,0.42857142857142855,2.1341107871720117
5207,Dryer_No_8,Gender_male,0.045081967213114756,0.34375,2.2668918918918917
5208,Dryer_No_8,With_Kids_no,0.045081967213114756,0.34375,2.2668918918918917
5209,Gender_male,Race_chinese,0.040983606557377046,0.47619047619047616,3.417366946778712
5210,Gender_male,With_Kids_no,0.040983606557377046,0.3333333333333333,2.392156862745098
5211,Washer_No_5,With_Kids_no,0.04918032786885246,0.4,2.380487804878049
5212,Washer_No_5,Dryer_No_8,0.045081967213114756,0.3666666666666667,2.5561904761904763
5213,Washer_No_5,shirt_type_short_sleeve,0.040983606557377046,0.3333333333333333,2.198198198198198
5214,Gender_male,With_Kids_no,0.045081967213114756,0.7857142857142857,2.0395136778115504
5215,Washer_No_6,Gender_male,0.045081967213114756,0.39285714285714285,2.337979094076655
5216,Washer_No_6,Gender_male,0.040983606557377046,0.47619047619047616,2.0384294068504594
5217,Washer_No_5,With_Kids_no,0.045081967213114756,0.3666666666666667,2.418018018018018
5218,Washer_No_5,With_Kids_no,0.05327868852459016,0.4333333333333333,2.349629629629629
5219,Gender_male,With_Kids_no,0.04918032786885246,0.631578947368421,2.2334096109839816
5220,Dryer_No_8,Gender_male,0.040983606557377046,0.31249999999999994,5.083333333333332
5221,Spectacles_yes,With_Kids_no,0.05737704918032787,0.6363636363636364,2.098280098280098
5222,Spectacles_yes,Gender_male,0.040983606557377046,0.7142857142857142,2.151675485008818
5223,With_Kids_no,Gender_male,0.06557377049180328,0.4210526315789474,2.096670247046187
5224,With_Kids_no,Gender_male,0.040983606557377046,0.38461538461538464,2.0854700854700856
5225,Gender_male,With_Kids_no,0.05327868852459016,0.6190476190476191,2.157823129251701
5226,Washer_No_5,With_Kids_no,0.045081967213114756,0.3666666666666667,2.182113821138212
5227,Gender_male,With_Kids_no,0.040983606557377046,0.6249999999999999,2.1785714285714284
5228,Gender_male,With_Kids_no,0.045081967213114756,0.7857142857142857,2.0838509316770186
5229,Gender_male,With_Kids_no,0.04918032786885246,0.631578947368421,2.2015037593984963
5230,Gender_male,Dryer_No_8,0.040983606557377046,0.5263157894736842,2.0384294068504594
5231,With_Kids_no,Gender_male,0.045081967213114756,0.42307692307692313,2.1067503924646784
5232,Gender_male,With_Kids_no,0.040983606557377046,0.6249999999999999,2.3828124999999996
5233,Gender_male,With_Kids_no,0.05327868852459016,0.6842105263157894,2.608552631578947
5234,Dryer_No_8,With_Kids_no,0.040983606557377046,0.31249999999999994,2.723214285714285
5235,Kids_Category_no_kids,Wash_Item_clothes,0.040983606557377046,0.38461538461538464,5.520361990950227
5236,Kids_Category_no_kids,With_Kids_no,0.040983606557377046,0.38461538461538464,4.6923076923076925
5237,Shirt_Colour_blue,With_Kids_no,0.040983606557377046,0.43478260869565216,2.210144927536232
5238,Kids_Category_no_kids,With_Kids_no,0.040983606557377046,0.38461538461538464,2.182468694096601
5239,Washer_No_5,With_Kids_no,0.045081967213114756,0.3666666666666667,2.0806201550387597
5240,Pants_Colour_black,Kids_Category_no_kids,0.040983606557377046,0.5882352941176471,2.050420168067227
5241,Washer_No_3,With_Kids_no,0.06147540983606557,0.375,2.178571428571429
5242,Kids_Category_no_kids,Wash_Item_clothes,0.045081967213114756,0.42307692307692313,2.5807692307692314
5243,Washer_No_3,shirt_type_short_sleeve,0.05327868852459016,0.325,2.478125
5244,Kids_Category_no_kids,With_Kids_no,0.04918032786885246,0.46153846153846156,2.3461538461538463
5245,Kids_Category_no_kids,With_Kids_no,0.05737704918032787,0.5384615384615385,2.9860139860139863
5246,Kids_Category_no_kids,Dryer_No_8,0.040983606557377046,0.38461538461538464,2.3461538461538463
5247,Washer_No_6,With_Kids_no,0.040983606557377046,0.8333333333333333,2.210144927536232
5248,Kids_Category_no_kids,With_Kids_no,0.06147540983606557,0.5357142857142857,2.042410714285714
5249,Shirt_Colour_white,With_Kids_no,0.04918032786885246,0.75,2.010989010989011
5250,Washer_No_6,Race_chinese,0.040983606557377046,0.3225806451612903,2.915173237753883
5251,Washer_No_6,With_Kids_no,0.045081967213114756,0.3548387096774194,3.2066905615292716
