,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Washer_No,Dryer_No,Spectacles,Race_chinese,Race_foreigner ,Race_indian,Race_malay,Attire_casual,Attire_formal,Attire_traditional,Wash_Item_blankets,Wash_Item_clothes
244,1,0,40.0,0,1,0,1,0,1,7,0,5,9,0,0,0,0,1,1,0,0,0,1
245,0,0,33.0,0,1,0,1,5,0,7,0,3,7,0,0,0,0,1,1,0,0,0,1
246,0,1,52.0,0,1,0,8,6,1,0,1,5,8,0,0,0,1,0,1,0,0,0,1
247,1,0,54.0,0,1,0,1,0,1,12,1,3,7,0,1,0,0,0,1,0,0,0,1
248,0,1,38.0,0,1,0,1,10,1,11,1,3,10,0,0,0,0,1,1,0,0,0,1
249,1,2,43.0,0,1,1,2,5,1,5,1,5,10,0,0,1,0,0,1,0,0,0,1
250,1,2,45.0,0,1,0,3,4,1,4,0,3,8,0,0,1,0,0,1,0,0,0,1
251,1,0,52.0,0,1,0,1,3,0,5,0,6,9,1,0,0,0,1,0,0,1,0,1
252,0,0,37.0,0,1,0,4,4,1,0,0,3,9,0,0,0,0,1,1,0,0,0,1
253,1,0,41.0,0,1,0,9,0,1,6,0,5,10,0,0,0,0,1,1,0,0,0,1
254,1,0,45.0,0,1,0,0,10,1,2,0,5,10,1,0,0,0,1,1,0,0,0,1
255,0,2,53.0,0,1,0,3,10,0,0,0,5,10,0,0,0,0,1,0,1,0,0,1
256,1,2,39.0,0,1,0,0,10,1,0,0,4,8,1,0,0,0,1,1,0,0,1,0
257,1,1,32.0,0,1,0,9,3,1,7,0,6,10,0,0,0,1,0,1,0,0,0,1
258,0,2,50.0,0,1,0,6,8,0,10,0,3,8,1,0,0,0,1,1,0,0,0,1
259,0,2,33.0,0,1,0,9,0,1,0,0,5,9,0,0,0,1,0,1,0,0,0,1
260,0,0,46.0,0,1,0,9,8,0,0,0,6,7,0,0,0,1,0,0,1,0,0,1
261,0,0,30.0,0,1,0,9,4,1,0,0,3,8,0,0,0,1,0,0,0,1,1,0
262,1,2,55.0,0,1,0,9,2,1,12,1,5,10,0,1,0,0,0,1,0,0,0,1
263,1,2,30.0,0,1,0,9,0,1,0,0,5,8,0,0,0,1,0,1,0,0,0,1
264,1,0,34.0,0,1,0,9,11,1,5,0,5,7,1,1,0,0,0,1,0,0,0,1
265,0,0,39.0,0,1,0,1,0,0,0,0,3,10,0,0,0,1,0,0,1,0,0,1
266,0,0,41.0,0,1,0,2,6,1,0,0,4,10,0,1,0,0,0,1,0,0,0,1
267,1,0,39.0,0,1,0,1,5,1,4,1,4,7,1,1,0,0,0,1,0,0,0,1
268,1,1,35.0,0,1,0,8,3,1,2,1,3,7,0,0,0,1,0,1,0,0,0,1
269,0,2,34.0,0,1,0,1,6,0,2,0,4,7,0,0,0,0,1,0,1,0,0,1
270,1,1,55.0,0,1,0,0,3,1,0,1,3,7,0,1,0,0,0,1,0,0,0,1
271,1,1,47.0,0,1,0,9,9,1,7,1,3,10,0,0,0,1,0,1,0,0,0,1
272,1,2,45.0,0,1,0,8,9,1,4,1,4,8,0,1,0,0,0,1,0,0,0,1
273,0,0,31.0,0,1,0,1,2,0,2,0,4,8,0,0,0,0,1,0,0,1,0,1
274,0,2,41.0,0,1,0,5,5,0,0,0,3,8,0,1,0,0,0,1,0,0,0,1
275,1,2,42.0,0,1,0,9,10,1,9,1,6,9,0,0,1,0,0,1,0,0,0,1
276,0,0,36.0,0,1,0,4,11,1,0,0,5,7,0,0,1,0,0,1,0,0,0,1
277,0,0,54.0,0,1,0,9,4,0,12,0,5,8,0,0,1,0,0,1,0,0,1,0
278,0,2,44.0,0,1,0,1,4,1,0,0,6,10,0,1,0,0,0,1,0,0,0,1
279,0,0,47.0,0,1,0,9,9,1,5,0,5,10,0,0,0,0,1,1,0,0,0,1
280,0,1,47.0,0,1,0,0,9,1,0,0,3,9,0,0,0,0,1,1,0,0,0,1
281,1,0,29.0,0,1,0,8,8,1,12,1,4,8,0,0,0,0,1,1,0,0,0,1
282,0,0,41.0,0,1,0,0,4,1,0,0,6,9,0,0,0,0,1,1,0,0,0,1
283,0,2,50.0,0,1,0,4,4,1,7,1,6,10,0,0,0,0,1,1,0,0,0,1
284,0,0,54.0,0,1,0,1,0,1,0,0,3,9,0,0,0,0,1,1,0,0,1,0
285,0,0,48.0,0,1,0,0,0,0,9,1,4,8,0,0,0,0,1,1,0,0,0,1
286,0,2,41.0,0,1,0,9,11,1,0,1,3,7,0,1,0,0,0,1,0,0,1,0
287,1,0,29.0,0,1,0,0,11,1,7,0,5,7,0,0,0,0,1,1,0,0,0,1
288,1,2,34.0,0,1,0,8,0,1,7,0,4,7,1,0,0,0,1,1,0,0,0,1
289,1,0,29.0,1,4,0,9,11,1,7,0,5,9,0,0,0,0,1,1,0,0,0,1
290,1,1,33.0,0,1,0,8,4,1,0,0,3,10,0,0,0,1,0,1,0,0,0,1
291,0,0,43.0,1,2,0,1,0,1,7,0,5,9,1,0,0,0,1,1,0,0,0,1
292,1,2,32.0,0,1,0,8,11,1,7,0,5,8,0,0,0,0,1,1,0,0,0,1
293,1,1,29.0,0,1,0,1,10,1,7,0,6,8,0,0,0,0,1,0,1,0,0,1
294,0,2,48.0,1,2,0,8,9,1,0,0,3,10,1,0,0,0,1,1,0,0,0,1
295,1,1,54.0,1,4,0,0,5,1,11,0,4,8,0,1,0,0,0,1,0,0,0,1
296,1,1,42.0,0,1,0,0,5,0,6,0,3,7,0,0,0,0,1,1,0,0,0,1
297,0,0,35.0,0,1,0,3,9,1,7,0,5,7,0,0,0,0,1,1,0,0,0,1
298,0,1,40.0,0,1,0,9,9,1,0,0,3,8,0,0,0,0,1,1,0,0,0,1
299,1,1,37.0,0,1,0,8,3,1,12,0,3,7,0,0,0,0,1,1,0,0,1,0
300,1,2,31.0,0,1,0,0,10,1,7,0,4,8,0,1,0,0,0,1,0,0,0,1
301,0,2,55.0,0,1,0,8,10,1,0,1,6,9,0,0,0,0,1,1,0,0,0,1
302,1,2,40.0,0,1,0,9,10,1,12,1,5,7,0,1,0,0,0,1,0,0,0,1
303,1,2,37.0,0,1,0,9,0,1,4,0,6,9,0,0,0,1,0,1,0,0,1,0
304,1,2,30.0,0,1,0,9,5,1,0,1,4,8,0,0,1,0,0,1,0,0,0,1
305,1,1,45.0,0,1,1,9,0,1,4,0,6,10,0,0,0,1,0,1,0,0,0,1
306,0,0,28.0,0,1,0,3,5,1,4,0,6,8,0,0,1,0,0,1,0,0,0,1
307,0,1,44.0,0,1,0,8,7,1,7,0,4,9,0,0,1,0,0,1,0,0,0,1
308,1,1,33.0,0,1,0,7,10,1,0,0,5,10,1,0,0,1,0,1,0,0,0,1
309,1,1,32.0,0,1,0,8,10,1,7,1,5,9,0,0,0,0,1,1,0,0,1,0
310,1,2,37.0,0,1,1,9,10,1,0,0,4,9,0,0,0,0,1,1,0,0,0,1
311,1,1,39.0,0,1,0,1,0,1,0,0,6,9,0,0,0,0,1,1,0,0,0,1
312,1,1,35.0,0,1,0,1,10,1,5,0,6,9,0,0,0,1,0,0,1,0,0,1
313,0,0,36.0,0,1,0,1,9,1,12,0,6,10,0,0,0,1,0,0,0,1,0,1
314,0,2,40.0,1,2,0,1,7,0,9,0,5,9,0,0,0,0,1,0,0,1,0,1
315,0,2,48.0,0,1,0,0,10,1,4,0,6,8,0,0,0,0,1,1,0,0,0,1
316,0,2,51.0,0,1,0,1,10,1,5,1,4,9,0,1,0,0,0,1,0,0,0,1
317,1,2,28.0,1,2,0,9,10,1,0,1,3,7,1,0,0,0,1,1,0,0,0,1
318,1,2,44.0,0,1,0,0,10,1,0,0,3,10,0,0,0,0,1,0,1,0,0,1
319,0,2,34.0,0,1,0,8,4,1,0,0,6,8,0,0,0,1,0,1,0,0,1,0
320,1,1,49.0,0,1,0,9,10,1,4,0,6,9,0,0,0,1,0,1,0,0,1,0
321,1,1,48.0,0,1,0,9,9,1,0,0,4,7,0,0,0,1,0,0,1,0,0,1
322,1,1,53.0,0,1,0,9,10,1,0,0,4,9,0,0,0,1,0,1,0,0,0,1
323,1,1,46.0,0,1,0,1,4,1,4,0,4,7,0,0,0,1,0,1,0,0,0,1
324,1,0,47.0,0,1,0,1,8,1,7,0,5,9,0,0,0,1,0,1,0,0,0,1
